matchId,status,startDate,engine,homeClubId,homeTeamName,awayClubId,awayTeamName,homeScore,awayScore,result,winnerClubId,winnerTeamName,goalDifference,homeFormation,awayFormation,homeCaptainId,awayCaptainId,homeP1Overall,homeP2Overall,homeP3Overall,homeP4Overall,homeP5Overall,homeP6Overall,homeP7Overall,homeP8Overall,homeP9Overall,homeP10Overall,homeP11Overall,awayP1Overall,awayP2Overall,awayP3Overall,awayP4Overall,awayP5Overall,awayP6Overall,awayP7Overall,awayP8Overall,awayP9Overall,awayP10Overall,awayP11Overall,homeP1Id,homeP1DataVersion,homeP1Defense,homeP1Dribbling,homeP1Pace,homeP1Passing,homeP1Physical,homeP1Shooting,homeP1Goalkeeping,homeP1Energy,homeP1Pos1,homeP1Pos2,homeP1Pos3,homeP1Position,homeP1PositionCode,homeP2Id,homeP2DataVersion,homeP2Defense,homeP2Dribbling,homeP2Pace,homeP2Passing,homeP2Physical,homeP2Shooting,homeP2Goalkeeping,homeP2Energy,homeP2Pos1,homeP2Pos2,homeP2Pos3,homeP2Position,homeP2PositionCode,homeP3Id,homeP3DataVersion,homeP3Defense,homeP3Dribbling,homeP3Pace,homeP3Passing,homeP3Physical,homeP3Shooting,homeP3Goalkeeping,homeP3Energy,homeP3Pos1,homeP3Pos2,homeP3Pos3,homeP3Position,homeP3PositionCode,homeP4Id,homeP4DataVersion,homeP4Defense,homeP4Dribbling,homeP4Pace,homeP4Passing,homeP4Physical,homeP4Shooting,homeP4Goalkeeping,homeP4Energy,homeP4Pos1,homeP4Pos2,homeP4Pos3,homeP4Position,homeP4PositionCode,homeP5Id,homeP5DataVersion,homeP5Defense,homeP5Dribbling,homeP5Pace,homeP5Passing,homeP5Physical,homeP5Shooting,homeP5Goalkeeping,homeP5Energy,homeP5Pos1,homeP5Pos2,homeP5Pos3,homeP5Position,homeP5PositionCode,homeP6Id,homeP6DataVersion,homeP6Defense,homeP6Dribbling,homeP6Pace,homeP6Passing,homeP6Physical,homeP6Shooting,homeP6Goalkeeping,homeP6Energy,homeP6Pos1,homeP6Pos2,homeP6Pos3,homeP6Position,homeP6PositionCode,homeP7Id,homeP7DataVersion,homeP7Defense,homeP7Dribbling,homeP7Pace,homeP7Passing,homeP7Physical,homeP7Shooting,homeP7Goalkeeping,homeP7Energy,homeP7Pos1,homeP7Pos2,homeP7Pos3,homeP7Position,homeP7PositionCode,homeP8Id,homeP8DataVersion,homeP8Defense,homeP8Dribbling,homeP8Pace,homeP8Passing,homeP8Physical,homeP8Shooting,homeP8Goalkeeping,homeP8Energy,homeP8Pos1,homeP8Pos2,homeP8Pos3,homeP8Position,homeP8PositionCode,homeP9Id,homeP9DataVersion,homeP9Defense,homeP9Dribbling,homeP9Pace,homeP9Passing,homeP9Physical,homeP9Shooting,homeP9Goalkeeping,homeP9Energy,homeP9Pos1,homeP9Pos2,homeP9Pos3,homeP9Position,homeP9PositionCode,homeP10Id,homeP10DataVersion,homeP10Defense,homeP10Dribbling,homeP10Pace,homeP10Passing,homeP10Physical,homeP10Shooting,homeP10Goalkeeping,homeP10Energy,homeP10Pos1,homeP10Pos2,homeP10Pos3,homeP10Position,homeP10PositionCode,homeP11Id,homeP11DataVersion,homeP11Defense,homeP11Dribbling,homeP11Pace,homeP11Passing,homeP11Physical,homeP11Shooting,homeP11Goalkeeping,homeP11Energy,homeP11Pos1,homeP11Pos2,homeP11Pos3,homeP11Position,homeP11PositionCode,awayP1Id,awayP1DataVersion,awayP1Defense,awayP1Dribbling,awayP1Pace,awayP1Passing,awayP1Physical,awayP1Shooting,awayP1Goalkeeping,awayP1Energy,awayP1Pos1,awayP1Pos2,awayP1Pos3,awayP1Position,awayP1PositionCode,awayP2Id,awayP2DataVersion,awayP2Defense,awayP2Dribbling,awayP2Pace,awayP2Passing,awayP2Physical,awayP2Shooting,awayP2Goalkeeping,awayP2Energy,awayP2Pos1,awayP2Pos2,awayP2Pos3,awayP2Position,awayP2PositionCode,awayP3Id,awayP3DataVersion,awayP3Defense,awayP3Dribbling,awayP3Pace,awayP3Passing,awayP3Physical,awayP3Shooting,awayP3Goalkeeping,awayP3Energy,awayP3Pos1,awayP3Pos2,awayP3Pos3,awayP3Position,awayP3PositionCode,awayP4Id,awayP4DataVersion,awayP4Defense,awayP4Dribbling,awayP4Pace,awayP4Passing,awayP4Physical,awayP4Shooting,awayP4Goalkeeping,awayP4Energy,awayP4Pos1,awayP4Pos2,awayP4Pos3,awayP4Position,awayP4PositionCode,awayP5Id,awayP5DataVersion,awayP5Defense,awayP5Dribbling,awayP5Pace,awayP5Passing,awayP5Physical,awayP5Shooting,awayP5Goalkeeping,awayP5Energy,awayP5Pos1,awayP5Pos2,awayP5Pos3,awayP5Position,awayP5PositionCode,awayP6Id,awayP6DataVersion,awayP6Defense,awayP6Dribbling,awayP6Pace,awayP6Passing,awayP6Physical,awayP6Shooting,awayP6Goalkeeping,awayP6Energy,awayP6Pos1,awayP6Pos2,awayP6Pos3,awayP6Position,awayP6PositionCode,awayP7Id,awayP7DataVersion,awayP7Defense,awayP7Dribbling,awayP7Pace,awayP7Passing,awayP7Physical,awayP7Shooting,awayP7Goalkeeping,awayP7Energy,awayP7Pos1,awayP7Pos2,awayP7Pos3,awayP7Position,awayP7PositionCode,awayP8Id,awayP8DataVersion,awayP8Defense,awayP8Dribbling,awayP8Pace,awayP8Passing,awayP8Physical,awayP8Shooting,awayP8Goalkeeping,awayP8Energy,awayP8Pos1,awayP8Pos2,awayP8Pos3,awayP8Position,awayP8PositionCode,awayP9Id,awayP9DataVersion,awayP9Defense,awayP9Dribbling,awayP9Pace,awayP9Passing,awayP9Physical,awayP9Shooting,awayP9Goalkeeping,awayP9Energy,awayP9Pos1,awayP9Pos2,awayP9Pos3,awayP9Position,awayP9PositionCode,awayP10Id,awayP10DataVersion,awayP10Defense,awayP10Dribbling,awayP10Pace,awayP10Passing,awayP10Physical,awayP10Shooting,awayP10Goalkeeping,awayP10Energy,awayP10Pos1,awayP10Pos2,awayP10Pos3,awayP10Position,awayP10PositionCode,awayP11Id,awayP11DataVersion,awayP11Defense,awayP11Dribbling,awayP11Pace,awayP11Passing,awayP11Physical,awayP11Shooting,awayP11Goalkeeping,awayP11Energy,awayP11Pos1,awayP11Pos2,awayP11Pos3,awayP11Position,awayP11PositionCode
1700573,ENDED,2026-01-14T20:24:00.000Z,14.0.3/8.1.1,4294,Tsuen Wan Runners,4746,Colombes Peace Corps,6,0,HOME_WIN,4294,Tsuen Wan Runners,6,3-5-2,4-3-3_defend,31413,37162,75,68,76,74,76,76,74,75,76,75,70,71,68,69,70,71,71,74,69,70,73,70,88554,1,0,0,0,0,0,0,75,10000,GK,,,GK,1,20072,1,74,65,81,46,72,51,0,10000,LB,CB,,CB,3,285876,1,82,71,74,72,65,29,0,10000,LB,CB,,CB,4,175435,1,79,46,81,61,71,24,0,10000,CB,,,CB,13,46530,1,48,89,87,77,53,73,0,10000,RM,LM,,RM,7,42015,1,52,75,83,84,56,81,0,10000,CM,RM,CAM,CM,8,104788,1,75,69,68,72,80,55,0,10000,CDM,CM,,CDM,6,243660,1,67,80,75,77,58,72,0,10000,CM,LM,,CM,14,262251,1,67,72,82,82,65,80,0,10000,LM,RM,ST,LM,11,35188,1,44,75,88,63,67,76,0,10000,ST,,,ST,9,31413,1,41,75,91,68,69,89,0,10000,RM,RW,ST,ST,10,139568,1,0,0,0,0,0,0,71,10000,GK,,,GK,1,69580,1,68,57,71,77,62,33,0,10000,RB,RWB,,RB,5,132494,1,77,48,35,47,64,26,0,10000,CB,,,CB,12,107950,1,74,46,58,56,73,37,0,10000,CB,CM,,CB,3,151696,1,77,64,66,65,72,62,0,10000,LB,LM,,LB,4,36688,1,59,71,82,77,70,64,0,10000,CM,,,CM,7,57552,1,72,66,58,80,76,46,0,10000,CDM,,,CDM,6,88378,1,58,69,64,75,59,58,0,10000,CM,,,CM,8,34071,1,45,71,76,65,49,68,0,10000,RW,LW,,RW,10,37162,1,34,71,56,66,81,78,0,10000,ST,LM,,ST,9,12773,1,61,76,81,68,49,77,0,10000,LM,RM,,LW,11
1700612,ENDED,2026-01-14T20:24:00.000Z,14.0.3/8.1.1,3822,Étoile de Bel Abbès,3361,18HVR84,0,3,AWAY_WIN,3361,18HVR84,3,4-3-3_defend,4-1-2-1-2_narrow,48267,,68,72,64,69,68,66,66,69,73,69,62,78,77,77,76,76,76,78,76,76,76,76,340,1,0,0,0,0,0,0,68,10000,GK,,,GK,13,162725,1,84,54,69,62,69,52,0,10000,RWB,RB,,RB,17,35032,1,66,37,67,41,73,26,0,10000,CB,,,CB,16,35456,1,67,64,75,45,81,38,0,10000,CB,,,CB,15,40792,1,65,66,69,69,79,32,0,10000,LB,,,LB,14,74979,1,58,78,81,53,75,62,0,10000,CAM,CM,LM,CM,10,53895,1,71,53,55,62,72,64,0,10000,CDM,CM,,CDM,6,97312,1,48,72,67,75,66,56,0,10000,CM,,,CM,8,48267,1,38,77,89,53,64,76,0,10000,RW,CAM,,RW,21,19216,1,30,65,83,57,61,71,0,10000,ST,,,ST,23,170019,1,34,71,86,61,56,68,0,10000,LM,LW,,LW,18,39023,1,0,0,0,0,0,0,78,10000,GK,,,GK,1,60285,1,89,67,66,61,83,33,0,10000,RB,,,RB,2,2629,1,84,50,65,58,71,55,0,10000,CB,,,CB,3,55005,1,81,51,66,53,76,50,0,10000,CB,RB,,CB,4,69426,1,82,67,80,72,73,60,0,10000,LB,CB,,LB,5,7229,1,84,77,85,75,82,68,0,10000,CM,LM,,CM,8,35641,1,82,65,70,80,78,70,0,10000,CDM,CM,CB,CDM,6,76035,1,71,78,69,80,70,62,0,10000,CM,RW,,CM,13,51545,1,39,72,70,64,74,82,0,10000,ST,,,ST,9,57586,1,73,77,69,77,65,73,0,10000,CAM,RM,CM,CAM,10,21555,1,34,77,77,56,77,79,0,10000,ST,,,ST,14
1700655,ENDED,2026-01-14T20:24:00.000Z,14.0.3/8.1.1,6293,D10 Dark Destroyers,4001,Jade Peacocks MFC,5,2,HOME_WIN,6293,D10 Dark Destroyers,3,4-3-3_attack,4-3-3_defend,58257,57837,67,71,70,69,74,70,72,66,71,76,71,73,69,70,72,68,69,70,72,72,73,68,58257,1,0,0,0,0,0,0,67,10000,GK,,,GK,1,76709,1,72,60,88,71,64,36,0,10000,RB,RWB,RM,RB,2,195021,1,77,62,46,25,64,26,0,10000,CB,,,CB,3,171134,1,72,55,70,26,74,27,0,10000,CB,,,CB,4,190535,1,73,77,76,66,86,53,0,10000,LB,,,LB,5,60955,1,53,82,83,68,65,63,0,10000,RM,CM,,CM,8,183585,1,27,73,83,82,68,77,0,10000,LM,CF,CAM,CAM,10,175172,1,63,68,80,71,67,42,0,10000,CM,,,CM,6,60537,1,42,74,87,75,61,75,0,10000,RM,,,RW,7,70932,1,50,77,89,78,59,64,0,10000,CF,ST,,ST,9,105044,1,52,78,84,76,42,65,0,10000,RM,LW,CAM,LW,11,57837,1,0,0,0,0,0,0,73,10000,GK,,,GK,1,5972,1,70,71,89,61,55,63,0,10000,RB,LB,,RB,2,63987,1,74,55,64,52,68,52,0,10000,CB,,,CB,3,273458,1,78,45,55,55,70,23,0,10000,CB,,,CB,4,211714,1,71,66,70,66,63,27,0,10000,LB,,,LB,5,19762,1,63,77,66,68,58,61,0,10000,CM,RB,,CM,8,31864,1,77,70,73,62,67,71,0,10000,CDM,CM,,CDM,6,86026,1,58,73,60,78,47,65,0,10000,CAM,CM,LM,CM,13,26678,1,62,77,73,70,69,74,0,10000,RM,RW,,RW,7,73391,1,23,76,69,57,70,75,0,10000,ST,LM,,ST,9,68965,1,53,66,83,74,61,66,0,10000,LM,LW,,LW,11
1700699,ENDED,2026-01-14T20:24:00.000Z,14.0.3/8.1.1,6778,Swansea Bay FC,62,Mexico City Eagles,2,0,HOME_WIN,6778,Swansea Bay FC,2,4-1-2-1-2,4-3-1-2,53528,187220,69,70,69,70,69,68,71,70,68,68,69,72,72,69,71,72,71,71,71,73,72,71,159617,1,0,0,0,0,0,0,69,10000,GK,,,GK,1,116169,1,76,57,72,66,68,45,0,10000,RB,RM,,RB,2,82890,1,70,73,57,30,76,29,0,10000,CB,CM,,CB,3,53528,1,77,43,71,48,64,24,0,10000,CB,,,CB,4,141514,1,69,61,78,71,72,33,0,10000,LB,CB,,LB,5,67353,1,44,80,80,68,52,63,0,10000,RM,,,RM,7,158863,1,67,79,64,70,74,46,0,10000,CDM,CM,,CDM,6,20554,1,50,77,75,73,54,65,0,10000,LM,,,LM,11,11269,1,55,68,82,64,67,68,0,10000,CAM,ST,,ST,9,25767,1,71,73,77,59,66,69,0,10000,CAM,LW,,CAM,8,71620,1,35,66,80,58,74,71,0,10000,ST,RW,,ST,10,292842,1,0,0,0,0,0,0,72,10000,GK,,,GK,1,12915,1,68,78,79,71,78,42,0,10000,RB,,,RB,2,184944,1,71,45,62,51,78,24,0,10000,CB,CDM,,CB,3,12896,1,69,67,70,60,80,34,0,10000,CB,,,CB,4,187220,1,81,77,65,51,66,48,0,10000,LB,,,LB,5,203970,1,56,70,51,81,64,52,0,10000,CM,,,CM,6,185416,1,52,76,68,76,61,61,0,10000,CM,CAM,,CM,13,26512,1,50,84,66,72,72,55,0,10000,CM,LM,RM,CM,8,67166,1,31,72,64,50,61,81,0,10000,ST,,,ST,9,24258,1,45,68,65,77,66,72,0,10000,CAM,CM,,CAM,10,174998,1,21,66,85,54,60,76,0,10000,ST,,,ST,14
1700734,ENDED,2026-01-14T20:24:00.000Z,14.0.3/8.1.1,1593,ROYALIVI ROVERS,3538,Malmö MFL,4,1,HOME_WIN,1593,ROYALIVI ROVERS,3,4-3-3,4-1-2-1-2,34180,69670,65,69,65,64,71,71,63,73,64,72,74,71,70,68,68,71,67,69,69,67,68,67,454,1,0,0,0,0,0,0,65,10000,GK,,,GK,1,20274,1,73,61,79,62,66,42,0,10000,RB,,,RB,2,189866,1,65,58,62,54,72,37,0,10000,CB,CDM,,CB,3,24709,1,62,57,59,62,74,36,0,10000,CB,,,CB,4,36351,1,75,71,79,53,77,68,0,10000,LB,,,LB,5,21858,1,66,73,75,72,71,64,0,10000,CM,CAM,CDM,CM,10,153954,1,54,66,59,63,76,55,0,10000,CM,,,CM,8,82716,1,46,77,67,80,66,65,0,10000,CM,CDM,,CM,6,25883,1,38,62,79,68,72,56,0,10000,RW,LW,,RW,11,34180,1,44,68,90,60,81,72,0,10000,ST,,,ST,9,16022,1,30,73,78,65,55,84,0,10000,LW,LM,,LW,13,240270,1,0,0,0,0,0,0,71,10000,GK,,,GK,1,230822,1,75,67,62,68,64,60,0,10000,RWB,RB,,RB,2,69432,1,70,57,78,56,70,46,0,10000,CB,,,CB,3,69670,1,71,67,57,57,63,39,0,10000,CB,RB,,CB,4,130652,1,76,70,74,64,59,29,0,10000,LWB,LW,LB,LB,5,17850,1,40,79,81,73,48,51,0,10000,RM,,,RM,7,179956,1,75,64,53,66,67,36,0,10000,CDM,CM,,CDM,6,61524,1,70,74,86,63,72,72,0,10000,LM,CM,,LM,11,18575,1,27,63,68,54,68,71,0,10000,ST,RW,,ST,9,70122,1,49,67,74,72,76,60,0,10000,CAM,CM,,CAM,8,34679,1,23,66,74,52,76,68,0,10000,ST,,,ST,10
1700775,ENDED,2026-01-15T20:24:00.000Z,14.0.3/8.1.1,1593,ROYALIVI ROVERS,4746,Colombes Peace Corps,3,2,HOME_WIN,1593,ROYALIVI ROVERS,1,4-3-3,4-3-3_defend,34180,112139,65,69,65,64,71,71,63,73,64,72,74,71,68,69,70,67,71,74,69,68,73,70,454,1,0,0,0,0,0,0,65,9917,GK,,,GK,1,20274,1,73,61,79,62,66,42,0,9850,RB,,,RB,2,189866,1,65,58,62,54,72,37,0,9861,CB,CDM,,CB,3,24709,1,62,57,59,62,74,36,0,9864,CB,,,CB,4,36351,1,75,71,79,53,77,68,0,9870,LB,,,LB,5,21858,1,66,73,75,72,71,64,0,9859,CM,CAM,CDM,CM,10,153954,1,54,66,59,63,76,55,0,9844,CM,,,CM,8,82716,1,46,77,67,80,66,65,0,9850,CM,CDM,,CM,6,25883,1,38,62,79,68,72,56,0,9861,RW,LW,,RW,11,34180,1,44,68,90,60,81,72,0,9877,ST,,,ST,9,16022,1,30,73,78,65,56,84,0,9829,LW,LM,,LW,13,139568,1,0,0,0,0,0,0,71,9921,GK,,,GK,1,69580,1,68,57,71,77,62,33,0,9822,RB,RWB,,RB,5,64127,1,72,56,46,42,72,30,0,10000,CB,,,CB,2,107950,1,74,46,58,56,73,37,0,9816,CB,CM,,CB,3,73690,1,64,69,73,65,75,63,0,10000,RB,LB,CDM,LB,14,36688,1,59,71,82,77,70,64,0,9857,CM,,,CM,7,57552,1,72,66,58,80,76,46,0,9868,CDM,,,CDM,6,15772,1,63,83,45,67,76,40,0,10000,CM,CAM,,CM,15,112139,1,26,81,74,47,60,64,0,10000,ST,LM,RW,RW,16,37162,1,34,71,56,66,81,78,0,9877,ST,LM,,ST,9,34071,1,45,71,76,65,49,68,0,9818,RW,LW,,LW,10
1700813,ENDED,2026-01-15T20:24:00.000Z,14.0.3/8.1.1,3538,Malmö MFL,6778,Swansea Bay FC,1,2,AWAY_WIN,6778,Swansea Bay FC,1,4-1-2-1-2,4-1-2-1-2,26155,82890,71,69,68,67,71,70,68,69,67,68,66,69,70,70,69,69,67,71,70,68,68,69,240270,1,0,0,0,0,0,0,71,9921,GK,,,GK,1,49929,1,72,62,73,69,64,41,0,10000,LB,RB,,RB,2,69432,1,70,57,78,56,70,46,0,9857,CB,,,CB,3,26155,1,69,56,53,57,68,49,0,10000,CB,,,CB,4,130652,1,76,70,74,64,59,29,0,9837,LWB,LW,LB,LB,5,132478,1,63,72,52,71,70,70,0,10000,LM,RM,,RM,7,92229,1,75,67,67,55,75,48,0,10000,CDM,CM,,CDM,6,61524,1,70,74,86,63,72,72,0,9861,LM,CM,,LM,11,18575,1,27,63,68,54,68,71,0,9853,ST,RW,,ST,9,73078,1,40,65,64,67,55,78,0,10000,CAM,CM,CF,CAM,8,204771,1,24,61,68,55,59,72,0,10000,ST,,,ST,10,159617,1,0,0,0,0,0,0,69,9920,GK,,,GK,1,116169,1,76,57,72,66,68,45,0,9853,RB,RM,,RB,2,53528,1,77,43,71,48,64,24,0,9805,CB,,,CB,3,82890,1,70,73,57,31,76,29,0,9868,CB,CM,,CB,4,141514,1,69,61,78,71,72,33,0,9861,LB,CB,,LB,5,97715,1,34,69,76,74,64,70,0,10000,RM,CAM,,RM,7,158863,1,67,79,64,70,74,46,0,9864,CDM,CM,,CDM,6,20554,1,50,77,75,73,54,65,0,9828,LM,,,LM,11,79701,1,35,67,81,56,53,71,0,10000,ST,,,ST,9,11269,1,55,68,82,64,67,68,0,9827,CAM,ST,,CAM,8,71620,1,35,66,80,58,74,71,0,9864,ST,RW,,ST,10
1700854,ENDED,2026-01-15T20:24:00.000Z,14.0.3/8.1.1,6293,D10 Dark Destroyers,7183,Mamba Academy - Germany,2,1,HOME_WIN,6293,D10 Dark Destroyers,1,4-3-3_attack,4-4-2,48972,77296,73,71,70,69,74,70,72,66,71,76,71,69,73,68,69,63,70,69,68,70,69,67,48972,1,0,0,0,0,0,0,73,10000,GK,,,GK,1,76709,1,72,60,88,71,64,36,0,9846,RB,RWB,RM,RB,2,195021,1,77,62,46,25,64,26,0,9846,CB,,,CB,3,171134,1,72,55,71,26,74,27,0,9864,CB,,,CB,4,190535,1,73,77,76,66,86,53,0,9886,LB,,,LB,5,60955,1,53,82,83,68,65,63,0,9848,RM,CM,,CM,8,183585,1,27,73,83,82,68,77,0,9853,LM,CF,CAM,CAM,10,175172,1,63,68,80,71,68,42,0,9851,CM,,,CM,6,60537,1,42,74,87,75,61,75,0,9806,RM,,,RW,7,70932,1,50,77,89,78,59,64,0,9837,CF,ST,,ST,9,105044,1,52,78,84,76,42,65,0,9806,RM,LW,CAM,LW,11,77296,1,0,0,0,0,0,0,69,10000,GK,,,GK,1,67477,1,76,64,80,68,74,52,0,10000,RB,RWB,,RB,2,248686,1,75,39,57,25,72,49,0,10000,CB,,,CB,3,232864,1,72,52,36,50,73,28,0,10000,CB,,,CB,4,90011,1,68,59,72,54,54,49,0,10000,LB,LM,RB,LB,5,231109,1,39,74,73,79,56,61,0,10000,RM,,,RM,7,110867,1,37,72,73,76,66,66,0,10000,RM,CM,,CM,8,171147,1,54,62,67,79,57,60,0,10000,CM,RM,,CM,6,141507,1,51,72,67,74,57,70,0,10000,LM,RB,,LM,11,239444,1,25,77,40,57,58,75,0,10000,ST,LW,,ST,9,147905,1,27,58,78,53,57,74,0,10000,ST,,,ST,10
1700892,ENDED,2026-01-15T20:24:00.000Z,14.0.3/8.1.1,3361,18HVR84,4001,Jade Peacocks MFC,1,1,DRAW,,,0,4-1-2-1-2_narrow,4-3-3_defend,,77580,78,77,77,76,76,76,78,76,76,76,76,69,68,70,70,68,69,70,69,72,71,70,39023,1,0,0,0,0,0,0,78,9897,GK,,,GK,1,60285,1,89,67,66,61,83,33,0,9881,RB,,,RB,2,2629,1,84,50,65,58,71,55,0,9859,CB,,,CB,3,55005,1,81,51,66,53,76,50,0,9868,CB,RB,,CB,4,69426,1,82,67,80,72,73,60,0,9862,LB,CB,,LB,5,7229,1,84,77,85,75,82,68,0,9879,CM,LM,,CM,8,35641,1,82,65,70,80,78,70,0,9872,CDM,CM,CB,CDM,6,76035,1,71,78,69,80,70,62,0,9857,CM,RW,,CM,13,51545,1,39,72,70,64,74,82,0,9864,ST,,,ST,9,57586,1,73,77,69,77,65,73,0,9848,CAM,RM,CM,CAM,10,21555,1,34,77,77,56,77,79,0,9870,ST,,,ST,14,77580,1,0,0,0,0,0,0,69,10000,GK,,,GK,1,107617,1,66,61,71,74,78,46,0,10000,RB,,,RB,2,63987,1,74,55,64,52,68,52,0,9853,CB,,,CB,3,21980,1,68,57,68,64,84,41,0,10000,CB,,,CB,4,211714,1,71,66,70,66,63,27,0,9844,LB,,,LB,5,19762,1,63,77,66,68,58,61,0,9835,CM,RB,,CM,8,31864,1,77,70,73,62,67,71,0,9851,CDM,CM,,CDM,6,167983,1,49,63,64,81,57,67,0,10000,CM,CAM,,CM,13,26678,1,62,77,73,70,69,74,0,9855,RM,RW,,RW,7,12816,1,37,67,67,72,61,76,0,10000,CAM,ST,RM,ST,9,16510,1,60,76,80,61,66,62,0,10000,RW,LW,,LW,11
1700929,ENDED,2026-01-15T20:24:00.000Z,14.0.3/8.1.1,4294,Tsuen Wan Runners,3822,Étoile de Bel Abbès,6,0,HOME_WIN,4294,Tsuen Wan Runners,6,3-5-2,4-4-2,31413,42699,75,68,76,74,76,76,74,76,76,75,70,74,72,75,78,73,72,70,71,71,76,72,88554,1,0,0,0,0,0,0,75,9924,GK,,,GK,1,20072,1,74,65,81,46,72,51,0,9861,LB,CB,,CB,3,285876,1,82,71,74,72,65,29,0,9848,LB,CB,,CB,4,175435,1,79,46,81,61,71,24,0,9859,CB,,,CB,13,46530,1,48,89,87,77,53,73,0,9826,RM,LM,,RM,7,42015,1,52,75,83,84,56,81,0,9831,CM,RM,CAM,CM,8,104788,1,75,69,68,72,80,55,0,9875,CDM,CM,,CDM,6,243660,1,67,80,75,78,58,72,0,9835,CM,LM,,CM,14,262251,1,68,72,83,82,65,80,0,9848,LM,RM,ST,LM,11,35188,1,44,75,88,63,67,76,0,9851,ST,,,ST,9,31413,1,42,76,91,68,69,89,0,9855,RM,RW,ST,ST,10,28925,1,0,0,0,0,0,0,74,10000,GK,,,GK,1,199290,1,73,71,78,66,72,24,0,10000,RB,,,RB,2,69007,1,83,61,70,46,65,25,0,10000,CB,,,CB,4,128668,1,86,47,64,54,73,37,0,10000,CB,,,CB,3,151395,1,78,68,74,67,67,39,0,10000,LB,,,LB,5,91705,1,44,73,73,83,62,57,0,10000,RM,ST,,RM,7,72651,1,68,69,67,74,71,58,0,10000,CM,,,CM,19,115950,1,59,69,64,79,62,59,0,10000,CM,,,CM,20,156528,1,60,79,73,72,53,68,0,10000,LM,CAM,,LM,11,42699,1,31,79,75,43,62,82,0,10000,ST,,,ST,9,189602,1,30,78,83,49,66,71,0,10000,ST,,,ST,22
