id,firstName,lastName,overall,nationality,primaryPosition,secondaryPosition,tertiaryPosition,secondaryOverall,tertiaryOverall,maxOverall,preferredFoot,age,height,pace,shooting,passing,dribbling,defense,physical,goalkeeping,retirementYears,energy,nbSeasonYellows,ownerMatchesClubOwner,revenueShare,totalRevenueShare,nbMatches,revenueSharePenalty,autoAccept,stats.assists,stats.chancesCreated,stats.clearances,stats.crosses,stats.crossesAccurate,stats.defensiveDuelsWon,stats.draws,stats.dribbledPast,stats.dribblingSuccess,stats.foulsCommitted,stats.foulsSuffered,stats.goals,stats.goalsConceded,stats.losses,stats.nbMatches,stats.ownGoals,stats.passes,stats.passesAccurate,stats.rating,stats.redCards,stats.saves,stats.shots,stats.shotsIntercepted,stats.shotsInterceptions,stats.shotsOnTarget,stats.time,stats.wins,stats.xG,stats.yellowCards
177454,Ralf,Boman,73,SWEDEN,RM,LM,,72,,73,LEFT,27,173,62,59,78,77,59,75,0,,9828,3,False,0,0,,,False,3,32,13,60,11,80,4,168,163,48,36,2,0,6,21,0,981,788,144.18,1,0,17,7,0,6,112886,11,1.62,5
151821,Simon,Serre,71,FRANCE,LM,ST,,72,,72,RIGHT,28,186,72,75,71,73,59,66,0,,9263,11,False,0,0,,,False,1,19,16,34,3,81,4,214,173,65,59,4,0,6,21,0,925,736,137.03,1,0,22,5,2,10,112896,11,2.86,13
158726,Waly,Marone,71,SENEGAL,CAM,CM,,65,,71,LEFT,28,180,66,67,69,75,32,57,0,,9763,1,True,0,0,,,False,0,5,5,3,0,4,1,27,30,6,8,0,0,6,7,0,299,221,42.24,0,0,6,3,0,0,37800,0,0.36,1
149300,Mariano,Martirena,77,URUGUAY,GK,,,,,77,RIGHT,25,180,0,0,0,0,0,0,77,,8515,0,False,0,0,,,False,0,0,145,0,0,0,5,0,0,0,0,0,23,10,26,0,517,511,195.69,0,66,0,0,0,0,140400,11,0,0
150991,Gordon,Saunders,80,ENGLAND,ST,RM,,67,,80,RIGHT,27,187,73,88,66,75,32,75,0,,8252,0,False,0,0,,,False,1,12,8,3,0,4,4,29,57,11,32,12,0,8,23,0,332,260,151.5,0,0,60,14,2,25,124200,11,8.1,0
157767,Modu,Alhassan,76,NIGERIA,CAM,CM,RM,72,72,76,LEFT,30,180,67,71,80,76,44,53,0,,7525,0,True,0,0,,,False,6,29,12,27,11,22,4,72,147,27,42,3,0,8,23,0,672,513,159.53,0,0,58,20,1,17,124200,11,4.25,0
170242,Steffen,Buchholz,72,GERMANY,CDM,,,,,72,RIGHT,32,181,65,49,63,75,76,75,0,2,8878,3,True,0,0,,,False,1,8,29,2,1,30,4,31,66,14,20,0,0,6,21,0,1084,979,149.17,0,0,3,1,1,0,113400,11,0.14,3
193131,Olivier,Jacquot,70,FRANCE,LB,,,,,70,LEFT,32,182,81,58,62,74,70,72,0,,9256,7,True,0,0,,,False,4,16,50,8,0,166,5,151,155,41,34,0,0,7,21,0,1108,925,147.86,0,0,9,6,5,2,113400,9,1.17,7
77086,Jeremy,Mann,72,ENGLAND,CB,,,,,72,LEFT,28,186,63,34,52,58,74,78,0,,8867,0,False,250,450,12,200,False,0,1,102,0,0,26,4,10,9,3,9,1,0,9,23,0,905,875,165.69,0,0,3,1,8,1,124200,10,0.74,0
202926,Denis,Cornu,45,FRANCE,ST,,,,,45,RIGHT,27,185,49,46,36,43,23,52,0,,10000,1,True,0,0,,,True,0,4,1,1,0,0,1,8,3,4,4,0,0,3,4,0,64,47,22.18,0,0,8,7,1,0,21600,0,1.01,1
183525,Gareth,O'Donoghue,41,REPUBLIC_OF_IRELAND,ST,,,,,41,RIGHT,26,181,38,45,40,36,33,50,0,,10000,0,True,0,0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152728,Torfinn,Rørvik,47,NORWAY,CF,CAM,,43,,47,LEFT,26,179,69,39,31,55,30,42,0,,10000,0,True,0,0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121005,Wellington,Padilha,63,BRAZIL,CDM,,,,,63,LEFT,26,181,49,48,49,58,72,72,0,,10000,1,False,0,0,,,False,1,4,19,0,0,20,2,23,19,12,8,0,0,8,12,0,575,509,76.14,0,0,1,1,4,0,64800,2,0.05,1
77407,Afonso,Viana,60,BRAZIL,GK,,,,,60,RIGHT,27,188,0,0,0,0,0,0,60,,10000,0,False,0,0,,,False,0,0,16,0,0,0,0,0,0,0,0,0,7,2,2,0,48,48,10.95,0,4,0,0,0,0,10800,0,0,0
51393,Bartolomeo,Valenti,63,ITALY,RM,CF,RWB,66,59,66,LEFT,30,179,77,58,60,73,52,57,0,,10000,0,False,0,0,,,False,0,4,6,12,2,16,1,41,32,10,15,0,0,5,6,0,231,184,37.88,0,0,5,2,0,3,32400,0,0.55,0
75940,Živan,Mićić,71,SERBIA,CB,LB,,67,,71,RIGHT,30,172,61,30,67,58,72,78,0,2,9661,3,False,300,800,5,500,False,0,2,58,1,0,59,2,66,27,17,21,0,0,10,15,0,665,602,99.26,0,0,0,0,4,0,81000,3,0,3
