clubStanding,clubId,clubName,wins,draws,losses,points,goals,goalsAgainst,matchIds
1,5083,Wuxi Red Phoenix MFC,17,3,2,54,48,13,"[1691150, 1691444, 1691592, 1691824, 1692016, 1692339, 1692477, 1692844, 1692929, 1693204, 1693314, 1693618, 1693858, 1694193, 1694346, 1694702, 1694862, 1694958, 1695320, 1695486, 1695572, 1695668]"
2,5516,Hoofddorp Polder Warriors MFC,12,4,6,40,43,16,"[1690971, 1691316, 1691523, 1691936, 1692089, 1692306, 1692477, 1692698, 1693062, 1693233, 1693483, 1693618, 1693790, 1693974, 1694421, 1694565, 1694888, 1695084, 1695210, 1695471, 1695633, 1695761]"
3,2623,YAMOUSSOUKRO FC,12,3,7,39,31,22,"[1691022, 1691275, 1691555, 1691897, 1692130, 1692283, 1692512, 1692660, 1693062, 1693204, 1693517, 1693647, 1693828, 1694072, 1694459, 1694531, 1694862, 1695114, 1695180, 1695400, 1695615, 1695761]"
4,5411,Cegléd MFC,12,2,8,38,28,15,"[1691150, 1691316, 1691702, 1691779, 1692130, 1692226, 1692618, 1692763, 1692963, 1693096, 1693412, 1693720, 1693937, 1694193, 1694459, 1694630, 1694760, 1695052, 1695210, 1695376, 1695548, 1695701]"
5,5863,Chiba MFC ,11,5,6,38,31,19,"[1691188, 1691404, 1691660, 1691779, 1692052, 1692306, 1692512, 1692844, 1692893, 1693169, 1693344, 1693647, 1693901, 1694237, 1694380, 1694702, 1694828, 1694991, 1695292, 1695471, 1695548, 1695652]"
6,5298,Amethyst Peacocks MFC,11,5,6,38,32,22,"[1691062, 1691230, 1691592, 1691858, 1692161, 1692226, 1692573, 1692698, 1693031, 1693169, 1693517, 1693686, 1693858, 1694126, 1694496, 1694565, 1694828, 1695114, 1695147, 1695376, 1695593, 1695737]"
7,1334,Telford Wanderers,10,4,8,34,24,25,"[1691103, 1691275, 1691660, 1691824, 1692161, 1692194, 1692618, 1692733, 1692992, 1693134, 1693483, 1693720, 1693901, 1694155, 1694496, 1694600, 1694793, 1695084, 1695180, 1695346, 1695572, 1695714]"
8,5866,Callumbus Crew,9,3,10,30,17,23,"[1691188, 1691355, 1691702, 1691741, 1692089, 1692283, 1692573, 1692800, 1692929, 1693134, 1693376, 1693686, 1693937, 1694237, 1694421, 1694662, 1694793, 1695020, 1695243, 1695400, 1695528, 1695668]"
9,4740,Los Angeles City,6,5,11,23,27,36,"[1691022, 1691355, 1691481, 1691936, 1692052, 1692339, 1692440, 1692733, 1693031, 1693270, 1693412, 1693587, 1693760, 1694072, 1694380, 1694600, 1694923, 1695052, 1695243, 1695486, 1695633, 1695737]"
10,2118,Caen Meta Dragons,4,6,12,18,14,36,"[1690971, 1691230, 1691481, 1691741, 1691977, 1692194, 1692406, 1692660, 1692893, 1693096, 1693314, 1693546, 1693760, 1693974, 1694314, 1694531, 1694760, 1694958, 1695147, 1695346, 1695528, 1695652]"
11,1549,Athens Gods,4,5,13,17,19,40,"[1691103, 1691444, 1691555, 1691858, 1691977, 1692373, 1692440, 1692800, 1692963, 1693233, 1693344, 1693587, 1693828, 1694155, 1694314, 1694662, 1694888, 1694991, 1695320, 1695509, 1695593, 1695701]"
12,750,Serg Academy - Colombia,1,1,20,4,12,59,"[1691062, 1691404, 1691523, 1691897, 1692016, 1692373, 1692406, 1692763, 1692992, 1693270, 1693376, 1693546, 1693790, 1694126, 1694346, 1694630, 1694923, 1695020, 1695292, 1695509, 1695615, 1695714]"
