id,firstName,lastName,overall,nationality,primaryPosition,secondaryPosition,tertiaryPosition,secondaryOverall,tertiaryOverall,maxOverall,preferredFoot,age,height,pace,shooting,passing,dribbling,defense,physical,goalkeeping,retirementYears,energy,nbSeasonYellows,ownerMatchesClubOwner,revenueShare,totalRevenueShare,nbMatches,revenueSharePenalty,autoAccept,stats.assists,stats.chancesCreated,stats.clearances,stats.crosses,stats.crossesAccurate,stats.defensiveDuelsWon,stats.draws,stats.dribbledPast,stats.dribblingSuccess,stats.foulsCommitted,stats.foulsSuffered,stats.goals,stats.goalsConceded,stats.losses,stats.nbMatches,stats.ownGoals,stats.passes,stats.passesAccurate,stats.rating,stats.redCards,stats.saves,stats.shots,stats.shotsIntercepted,stats.shotsInterceptions,stats.shotsOnTarget,stats.time,stats.wins,stats.xG,stats.yellowCards
73185,Guillaume,Baert,75,BELGIUM,RB,LB,RM,74,70,75,RIGHT,32,177,76,57,68,79,77,67,0,3,9393,4,False,550,550,,,False,0,6,44,14,4,114,6,140,124,19,31,0,0,9,18,0,982,828,114.65,0,0,1,1,5,0,97200,3,0.06,4
43172,Cesare,Mantovani,79,ITALY,LW,RW,,78,,79,RIGHT,30,184,90,59,75,89,26,56,0,,9403,1,True,550,550,,,False,0,8,6,3,0,0,6,51,298,10,52,2,0,8,17,0,478,364,117.94,0,0,38,17,0,14,91800,3,5.07,1
58372,Sebestyén,Petrovics,76,HUNGARY,CM,CAM,,70,,76,RIGHT,31,183,44,65,83,69,79,77,0,,9307,4,True,0,0,,,False,1,14,28,7,1,65,4,77,55,21,34,0,0,13,20,0,1060,916,124.1,0,0,1,1,3,0,108000,3,0.09,4
25083,Tsuneo,Takai,74,JAPAN,RB,CB,,72,,74,RIGHT,32,182,84,56,70,75,72,77,0,,9937,5,False,550,550,,,False,2,10,39,4,1,105,4,135,109,18,33,1,0,9,15,0,839,693,92.57,0,0,7,2,3,3,81000,2,1,5
12570,Peadar,Geoghegan,75,REPUBLIC_OF_IRELAND,LB,LWB,LM,74,69,75,LEFT,31,176,80,56,65,81,74,80,0,,9064,2,False,550,550,,,False,2,11,33,17,4,89,4,146,92,28,26,3,0,10,19,0,1065,885,117.85,0,0,5,0,1,4,102600,5,1.15,2
153010,Alioum,Temgoua,77,CAMEROON,CB,RB,,66,,77,RIGHT,26,176,62,33,60,28,84,80,0,,9684,2,False,550,550,,,False,0,3,68,0,0,39,4,20,1,10,4,0,0,10,16,0,627,602,105.46,0,0,0,0,15,0,86400,2,0,2
72496,Ilirjan,Biçaku,78,ALBANIA,CM,,,,,78,LEFT,35,174,80,73,83,77,70,62,0,3,9534,2,False,550,550,,,False,2,15,20,23,3,43,7,77,55,12,16,0,0,8,18,0,1064,905,116.4,0,0,1,0,7,0,97200,3,0.06,2
131914,Benito,Chiesa,82,ITALY,CB,,,,,82,RIGHT,31,173,62,46,45,57,91,77,0,,9730,0,False,550,550,,,False,0,1,102,0,0,39,4,14,7,6,9,0,0,9,18,0,638,611,127.23,0,0,0,0,19,0,97200,5,0,0
57650,David,Gallo,79,ITALY,ST,,,,,79,RIGHT,30,195,72,82,58,82,44,80,0,,8972,2,False,550,550,,,False,1,7,11,2,0,7,4,36,62,11,22,8,0,12,21,0,333,215,133.22,0,0,58,12,1,25,113400,5,9.87,2
5674,La-On,Sales,78,KOREA_REPUBLIC,GK,,,,,78,RIGHT,32,185,0,0,0,0,0,0,78,2,9195,0,False,550,550,,,False,0,0,120,0,0,0,6,0,0,0,0,0,31,10,21,0,338,338,148.27,0,68,0,0,0,0,113400,5,0,0
29928,Moussa,Diakite,77,SENEGAL,CB,,,,,77,RIGHT,33,179,65,30,52,61,81,77,0,3,9481,0,False,550,550,,,False,0,0,78,0,0,39,6,21,6,9,8,0,0,9,18,0,691,664,122.48,0,0,0,0,23,0,97200,3,0,0
25133,Joso,Turkalj,76,CROATIA,RW,RM,,71,,76,RIGHT,31,193,85,76,82,69,38,66,0,,9612,3,False,550,550,,,False,3,19,9,6,2,7,4,71,79,15,34,1,0,10,16,0,506,390,102.67,0,0,14,4,0,6,86400,2,1.13,3
73327,Max,van Essen,81,NETHERLANDS,LM,ST,LW,82,83,83,RIGHT,31,179,89,84,86,82,56,71,0,,9727,0,False,550,550,,,False,3,14,12,17,1,20,7,52,141,13,35,9,0,8,20,0,514,421,140.93,0,0,49,22,3,15,108000,5,7.53,0
76795,Sixto,Zapata,79,ECUADOR,CM,CDM,,72,,79,LEFT,30,190,68,66,88,78,62,72,0,,8889,1,False,550,550,,,False,2,15,18,30,8,26,5,123,53,12,14,0,0,10,20,0,1075,939,124.46,0,0,3,0,1,1,108000,5,0.12,1
66271,Ovidio,Riaño,80,COLOMBIA,CM,,,,,80,RIGHT,28,175,67,73,88,72,82,76,0,,9617,1,False,550,550,,,False,4,19,29,68,7,59,5,55,19,14,16,0,0,11,20,0,1068,921,131.58,2,0,4,1,7,0,105563,4,0.3,5
63307,Raymond,Simon,75,FRANCE,GK,,,,,75,RIGHT,33,176,0,0,0,0,0,0,75,3,9996,0,False,550,550,,,False,0,0,29,0,0,0,1,1,0,0,0,0,12,4,5,0,93,93,30.71,0,16,0,0,0,0,27000,0,0,0
88519,Bedřich,Janků,78,CZECH_REPUBLIC,LM,LW,RM,79,77,79,RIGHT,29,183,76,71,84,85,43,67,0,,9993,0,False,0,0,,,False,0,3,3,2,0,2,0,15,31,3,6,1,0,4,4,0,127,101,26.16,0,0,4,1,0,2,21600,0,0.81,0
