matchId,status,startDate,engine,homeClubId,homeTeamName,awayClubId,awayTeamName,homeScore,awayScore,result,winnerClubId,winnerTeamName,goalDifference,homeFormation,awayFormation,homeCaptainId,awayCaptainId,homeP1Overall,homeP2Overall,homeP3Overall,homeP4Overall,homeP5Overall,homeP6Overall,homeP7Overall,homeP8Overall,homeP9Overall,homeP10Overall,homeP11Overall,awayP1Overall,awayP2Overall,awayP3Overall,awayP4Overall,awayP5Overall,awayP6Overall,awayP7Overall,awayP8Overall,awayP9Overall,awayP10Overall,awayP11Overall,homeP1Id,homeP1DataVersion,homeP1Defense,homeP1Dribbling,homeP1Pace,homeP1Passing,homeP1Physical,homeP1Shooting,homeP1Goalkeeping,homeP1Energy,homeP1Pos1,homeP1Pos2,homeP1Pos3,homeP1Position,homeP1PositionCode,homeP2Id,homeP2DataVersion,homeP2Defense,homeP2Dribbling,homeP2Pace,homeP2Passing,homeP2Physical,homeP2Shooting,homeP2Goalkeeping,homeP2Energy,homeP2Pos1,homeP2Pos2,homeP2Pos3,homeP2Position,homeP2PositionCode,homeP3Id,homeP3DataVersion,homeP3Defense,homeP3Dribbling,homeP3Pace,homeP3Passing,homeP3Physical,homeP3Shooting,homeP3Goalkeeping,homeP3Energy,homeP3Pos1,homeP3Pos2,homeP3Pos3,homeP3Position,homeP3PositionCode,homeP4Id,homeP4DataVersion,homeP4Defense,homeP4Dribbling,homeP4Pace,homeP4Passing,homeP4Physical,homeP4Shooting,homeP4Goalkeeping,homeP4Energy,homeP4Pos1,homeP4Pos2,homeP4Pos3,homeP4Position,homeP4PositionCode,homeP5Id,homeP5DataVersion,homeP5Defense,homeP5Dribbling,homeP5Pace,homeP5Passing,homeP5Physical,homeP5Shooting,homeP5Goalkeeping,homeP5Energy,homeP5Pos1,homeP5Pos2,homeP5Pos3,homeP5Position,homeP5PositionCode,homeP6Id,homeP6DataVersion,homeP6Defense,homeP6Dribbling,homeP6Pace,homeP6Passing,homeP6Physical,homeP6Shooting,homeP6Goalkeeping,homeP6Energy,homeP6Pos1,homeP6Pos2,homeP6Pos3,homeP6Position,homeP6PositionCode,homeP7Id,homeP7DataVersion,homeP7Defense,homeP7Dribbling,homeP7Pace,homeP7Passing,homeP7Physical,homeP7Shooting,homeP7Goalkeeping,homeP7Energy,homeP7Pos1,homeP7Pos2,homeP7Pos3,homeP7Position,homeP7PositionCode,homeP8Id,homeP8DataVersion,homeP8Defense,homeP8Dribbling,homeP8Pace,homeP8Passing,homeP8Physical,homeP8Shooting,homeP8Goalkeeping,homeP8Energy,homeP8Pos1,homeP8Pos2,homeP8Pos3,homeP8Position,homeP8PositionCode,homeP9Id,homeP9DataVersion,homeP9Defense,homeP9Dribbling,homeP9Pace,homeP9Passing,homeP9Physical,homeP9Shooting,homeP9Goalkeeping,homeP9Energy,homeP9Pos1,homeP9Pos2,homeP9Pos3,homeP9Position,homeP9PositionCode,homeP10Id,homeP10DataVersion,homeP10Defense,homeP10Dribbling,homeP10Pace,homeP10Passing,homeP10Physical,homeP10Shooting,homeP10Goalkeeping,homeP10Energy,homeP10Pos1,homeP10Pos2,homeP10Pos3,homeP10Position,homeP10PositionCode,homeP11Id,homeP11DataVersion,homeP11Defense,homeP11Dribbling,homeP11Pace,homeP11Passing,homeP11Physical,homeP11Shooting,homeP11Goalkeeping,homeP11Energy,homeP11Pos1,homeP11Pos2,homeP11Pos3,homeP11Position,homeP11PositionCode,awayP1Id,awayP1DataVersion,awayP1Defense,awayP1Dribbling,awayP1Pace,awayP1Passing,awayP1Physical,awayP1Shooting,awayP1Goalkeeping,awayP1Energy,awayP1Pos1,awayP1Pos2,awayP1Pos3,awayP1Position,awayP1PositionCode,awayP2Id,awayP2DataVersion,awayP2Defense,awayP2Dribbling,awayP2Pace,awayP2Passing,awayP2Physical,awayP2Shooting,awayP2Goalkeeping,awayP2Energy,awayP2Pos1,awayP2Pos2,awayP2Pos3,awayP2Position,awayP2PositionCode,awayP3Id,awayP3DataVersion,awayP3Defense,awayP3Dribbling,awayP3Pace,awayP3Passing,awayP3Physical,awayP3Shooting,awayP3Goalkeeping,awayP3Energy,awayP3Pos1,awayP3Pos2,awayP3Pos3,awayP3Position,awayP3PositionCode,awayP4Id,awayP4DataVersion,awayP4Defense,awayP4Dribbling,awayP4Pace,awayP4Passing,awayP4Physical,awayP4Shooting,awayP4Goalkeeping,awayP4Energy,awayP4Pos1,awayP4Pos2,awayP4Pos3,awayP4Position,awayP4PositionCode,awayP5Id,awayP5DataVersion,awayP5Defense,awayP5Dribbling,awayP5Pace,awayP5Passing,awayP5Physical,awayP5Shooting,awayP5Goalkeeping,awayP5Energy,awayP5Pos1,awayP5Pos2,awayP5Pos3,awayP5Position,awayP5PositionCode,awayP6Id,awayP6DataVersion,awayP6Defense,awayP6Dribbling,awayP6Pace,awayP6Passing,awayP6Physical,awayP6Shooting,awayP6Goalkeeping,awayP6Energy,awayP6Pos1,awayP6Pos2,awayP6Pos3,awayP6Position,awayP6PositionCode,awayP7Id,awayP7DataVersion,awayP7Defense,awayP7Dribbling,awayP7Pace,awayP7Passing,awayP7Physical,awayP7Shooting,awayP7Goalkeeping,awayP7Energy,awayP7Pos1,awayP7Pos2,awayP7Pos3,awayP7Position,awayP7PositionCode,awayP8Id,awayP8DataVersion,awayP8Defense,awayP8Dribbling,awayP8Pace,awayP8Passing,awayP8Physical,awayP8Shooting,awayP8Goalkeeping,awayP8Energy,awayP8Pos1,awayP8Pos2,awayP8Pos3,awayP8Position,awayP8PositionCode,awayP9Id,awayP9DataVersion,awayP9Defense,awayP9Dribbling,awayP9Pace,awayP9Passing,awayP9Physical,awayP9Shooting,awayP9Goalkeeping,awayP9Energy,awayP9Pos1,awayP9Pos2,awayP9Pos3,awayP9Position,awayP9PositionCode,awayP10Id,awayP10DataVersion,awayP10Defense,awayP10Dribbling,awayP10Pace,awayP10Passing,awayP10Physical,awayP10Shooting,awayP10Goalkeeping,awayP10Energy,awayP10Pos1,awayP10Pos2,awayP10Pos3,awayP10Position,awayP10PositionCode,awayP11Id,awayP11DataVersion,awayP11Defense,awayP11Dribbling,awayP11Pace,awayP11Passing,awayP11Physical,awayP11Shooting,awayP11Goalkeeping,awayP11Energy,awayP11Pos1,awayP11Pos2,awayP11Pos3,awayP11Position,awayP11PositionCode
1710069,ENDED,2026-01-14T21:15:00.000Z,14.0.3/8.1.1,3500,BockBusters,2686,Canal Kings FC,4,0,HOME_WIN,3500,BockBusters,4,4-1-2-1-2,4-1-2-1-2,,57216,84,82,80,84,78,79,82,82,83,76,84,76,79,77,78,77,77,78,77,78,75,78,77560,1,0,0,0,0,0,0,84,10000,GK,,,GK,1,39640,1,82,67,85,86,93,53,0,10000,RB,LB,,RB,2,1440,1,83,59,75,67,83,40,0,10000,CB,,,CB,3,103394,1,93,52,50,52,80,37,0,10000,CB,,,CB,4,29825,1,81,75,87,76,68,49,0,10000,LB,,,LB,5,40184,1,51,78,83,89,67,74,0,10000,RM,RB,ST,RM,7,31328,1,91,61,71,82,85,52,0,10000,CDM,CM,,CDM,6,65172,1,82,91,79,81,77,66,0,10000,RM,LM,,LM,11,74733,1,18,81,77,73,79,88,0,10000,ST,,,ST,9,36074,1,26,69,61,82,66,82,0,10000,CAM,CF,,CAM,8,82697,1,38,82,71,71,76,91,0,10000,ST,,,ST,10,188722,1,0,0,0,0,0,0,76,10000,GK,,,GK,1,211618,1,85,75,69,79,66,52,0,10000,RB,,,RB,2,156296,1,86,49,32,46,73,26,0,10000,CB,RB,,CB,3,64271,1,84,52,58,50,77,27,0,10000,CB,,,CB,4,65041,1,83,79,80,60,72,63,0,10000,LB,LM,LWB,LB,5,187801,1,62,80,62,79,65,77,0,10000,RM,RW,,RM,7,148420,1,82,71,57,82,70,49,0,10000,CDM,CAM,,CDM,6,76215,1,70,85,89,80,59,60,0,10000,RM,LM,,LM,11,169154,1,29,78,86,64,72,81,0,10000,ST,,,ST,9,114881,1,42,81,60,73,46,72,0,10000,CAM,,,CAM,8,57216,1,40,90,75,53,69,84,0,10000,CF,ST,CM,ST,10
1710107,ENDED,2026-01-14T21:15:00.000Z,14.0.3/8.1.1,1250,AJ Montpellier,2193,Effigy Dreamers MFC,0,5,AWAY_WIN,2193,Effigy Dreamers MFC,5,4-3-3_defend,3-4-3_diamond,125343,21721,78,77,75,77,78,76,78,76,80,77,77,79,81,84,81,87,83,81,84,83,81,81,57036,1,0,0,0,0,0,0,78,10000,GK,,,GK,1,242311,1,84,71,73,70,70,38,0,10000,RB,LB,RWB,RB,2,125343,1,78,59,63,51,81,46,0,10000,CB,RWB,,CB,3,100571,1,82,66,64,54,75,47,0,10000,CB,,,CB,4,29526,1,84,76,69,75,72,57,0,10000,LB,,,LB,5,307129,1,71,69,60,88,62,59,0,10000,CM,CAM,,CM,8,169762,1,85,67,58,78,71,50,0,10000,CDM,CM,,CDM,6,177005,1,54,74,63,85,69,72,0,10000,CM,CDM,CAM,CM,13,47144,1,35,86,92,69,70,75,0,10000,RW,CAM,,RW,7,88435,1,49,73,82,69,87,79,0,10000,ST,,,ST,9,50564,1,38,85,84,60,65,75,0,10000,LW,RW,,LW,11,77290,1,0,0,0,0,0,0,79,10000,GK,,,GK,1,56957,1,89,46,68,46,81,56,0,10000,CB,,,CB,3,20787,1,90,61,53,52,85,42,0,10000,CB,,,CB,4,1750,1,83,63,59,64,89,32,0,10000,CB,,,CB,13,36609,1,83,87,69,88,86,85,0,10000,RM,RWB,RW,RM,7,99638,1,87,79,65,83,74,53,0,10000,CDM,CB,,CDM,6,237536,1,73,71,89,92,69,77,0,10000,LM,CAM,,LM,11,21336,1,40,86,77,88,47,74,0,10000,CAM,LM,CM,CAM,8,39268,1,23,83,82,90,60,75,0,10000,RW,,,RW,14,21721,1,29,78,64,56,65,93,0,10000,ST,,,ST,9,57497,1,27,85,80,85,65,70,0,10000,LW,RM,LM,LW,15
1710153,ENDED,2026-01-14T21:15:00.000Z,14.0.3/8.1.1,1383,Pigs To The Slaughter,1385,Sous-marin RUBIS,1,3,AWAY_WIN,1385,Sous-marin RUBIS,2,3-4-3_diamond,4-1-2-1-2,57210,37851,81,77,78,78,79,79,75,77,78,72,79,82,81,84,81,81,84,83,85,83,85,84,159737,1,0,0,0,0,0,0,81,10000,GK,,,GK,1,57210,1,80,55,79,48,83,35,0,10000,CB,CDM,,CB,3,59187,1,82,52,87,56,80,34,0,10000,CB,,,CB,4,14338,1,84,64,86,52,72,40,0,10000,CB,,,CB,13,203458,1,77,84,80,79,70,75,0,10000,RM,ST,RB,RM,7,57181,1,81,71,80,87,66,59,0,10000,CDM,CM,,CDM,6,23953,1,79,74,75,74,69,78,0,10000,LM,ST,CAM,LM,11,53958,1,65,88,68,73,79,71,0,10000,CM,CAM,,CAM,8,55359,1,71,90,89,81,65,50,0,10000,RM,RW,,RW,14,61185,1,75,68,89,72,69,77,0,10000,RM,CM,ST,ST,9,15331,1,75,91,82,80,50,67,0,10000,LM,ST,LW,LW,15,149986,1,0,0,0,0,0,0,82,10000,GK,,,GK,1,83243,1,84,84,78,79,73,57,0,10000,RB,,,RB,3,165997,1,91,62,71,55,78,28,0,10000,CB,LB,,CB,5,99178,1,90,73,60,73,78,38,0,10000,CDM,CB,,CB,12,30936,1,83,77,82,84,70,57,0,10000,LB,,,LB,2,80260,1,58,86,85,93,82,71,0,10000,RM,LM,,RM,8,165474,1,89,74,72,88,71,45,0,10000,CDM,CM,,CDM,17,72832,1,70,87,71,93,75,68,0,10000,LM,RM,,LM,7,37851,1,34,82,87,65,70,88,0,10000,ST,,,ST,11,96731,1,47,92,81,83,76,76,0,10000,CAM,,,CAM,10,163388,1,33,79,81,67,76,93,0,10000,ST,CF,,ST,9
1710197,ENDED,2026-01-14T21:15:00.000Z,14.0.3/8.1.1,1089,MFC Leipzig Whales,554,Gasteiz Metathletic FC,1,1,DRAW,,,0,4-3-3,4-3-3_attack,5674,65012,78,75,77,81,75,79,80,78,79,79,80,81,82,81,82,80,78,86,78,76,79,83,5674,1,0,0,0,0,0,0,78,10000,GK,,,GK,1,73185,1,77,79,76,68,67,57,0,10000,RB,LB,RM,RB,2,29928,1,81,61,65,52,77,30,0,10000,CB,,,CB,3,131914,1,90,57,62,42,75,45,0,10000,CB,,,CB,4,12570,1,74,81,80,65,80,56,0,10000,LB,LWB,LM,LB,5,76795,1,62,78,68,88,72,66,0,10000,CM,CDM,,CM,8,66271,1,82,72,66,88,76,71,0,10000,CM,,,CM,6,72496,1,70,77,80,83,62,73,0,10000,CM,,,CM,13,43172,1,26,89,90,74,56,59,0,10000,LW,RW,,RW,7,57650,1,44,82,72,58,80,82,0,10000,ST,,,ST,9,73327,1,56,81,89,86,71,84,0,10000,LM,ST,LW,LW,11,113360,1,0,0,0,0,0,0,81,10000,GK,,,GK,1,22049,1,90,73,77,77,75,56,0,10000,RB,CM,,RB,2,65012,1,85,62,70,64,80,41,0,10000,CB,CDM,,CB,4,155866,1,92,58,62,48,73,30,0,10000,CB,,,CB,23,79536,1,89,66,65,80,75,39,0,10000,LB,LWB,,LB,3,144803,1,72,73,57,87,71,68,0,10000,CM,,,CM,17,53222,1,47,94,83,89,66,68,0,10000,CAM,,,CAM,10,116332,1,70,83,57,82,66,64,0,10000,CM,,,CM,19,32918,1,65,88,84,73,62,72,0,10000,RM,LM,RW,RW,7,144123,1,28,84,77,65,69,80,0,10000,ST,,,ST,9,119595,1,43,87,69,84,55,84,0,10000,LW,RW,,LW,21
1710241,ENDED,2026-01-14T21:15:00.000Z,14.0.3/8.1.1,839,Daegu Orchard MFC,2715,Bucaramanga,0,1,AWAY_WIN,2715,Bucaramanga,1,4-1-2-1-2,4-3-3_false9,121077,77567,82,78,80,79,81,78,78,76,78,76,79,80,78,77,78,76,79,80,78,79,81,78,57023,1,0,0,0,0,0,0,82,10000,GK,,,GK,1,38545,1,84,66,84,74,71,77,0,10000,RB,,,RB,2,73759,1,86,71,60,48,77,34,0,10000,CB,,,CB,3,39689,1,82,53,75,67,83,55,0,10000,CB,,,CB,4,73025,1,86,78,73,84,62,33,0,10000,LB,LWB,,LB,5,22748,1,72,78,92,81,75,71,0,10000,RM,,,RM,7,51878,1,74,79,81,82,79,67,0,10000,CDM,CB,,CDM,6,109633,1,59,75,82,86,52,69,0,10000,LM,LW,,LM,11,53592,1,40,87,77,45,85,79,0,10000,ST,,,ST,9,121077,1,44,77,81,86,69,72,0,10000,RM,CAM,LM,CAM,8,74098,1,40,65,86,55,66,92,0,10000,ST,,,ST,10,77567,1,0,0,0,0,0,0,80,10000,GK,,,GK,1,32888,1,81,79,72,77,67,51,0,10000,RB,,,RB,2,75378,1,82,53,71,55,77,53,0,10000,CB,,,CB,3,66839,1,86,57,51,51,70,31,0,10000,CB,,,CB,4,47184,1,81,81,86,64,57,30,0,10000,LB,,,LB,5,52559,1,74,73,65,88,66,75,0,10000,CM,,,CM,8,125772,1,85,67,81,82,71,35,0,10000,LB,CDM,,CDM,6,75948,1,58,82,77,81,81,69,0,10000,CM,LM,,CM,13,42300,1,47,87,84,72,60,69,0,10000,RW,ST,,RW,7,107360,1,47,88,69,70,75,85,0,10000,CF,,,CF,9,54736,1,48,88,86,69,72,72,0,10000,ST,LW,,LW,11
1710283,ENDED,2026-01-15T21:15:00.000Z,14.0.3/8.1.1,2193,Effigy Dreamers MFC,2686,Canal Kings FC,5,0,HOME_WIN,2193,Effigy Dreamers MFC,5,3-4-3_diamond,4-1-2-1-2,21721,57216,79,81,84,81,87,83,81,84,83,81,81,76,79,77,78,77,77,78,77,78,75,78,77290,1,0,0,0,0,0,0,79,9927,GK,,,GK,1,56957,1,89,46,68,46,81,56,0,9877,CB,,,CB,3,20787,1,90,61,53,52,85,42,0,9884,CB,,,CB,4,1750,1,83,63,60,64,89,32,0,9892,CB,,,CB,13,36609,1,83,87,69,88,86,85,0,9886,RM,RWB,RW,RM,7,99638,1,87,79,65,83,74,53,0,9864,CDM,CB,,CDM,6,237536,1,73,71,89,92,69,77,0,9855,LM,CAM,,LM,11,21336,1,40,86,77,88,47,74,0,9815,CAM,LM,CM,CAM,8,39268,1,23,83,82,90,60,75,0,9839,RW,,,RW,14,21721,1,29,78,64,56,65,93,0,9848,ST,,,ST,9,57497,1,27,85,80,85,65,70,0,9848,LW,RM,LM,LW,15,188722,1,0,0,0,0,0,0,76,9925,GK,,,GK,1,211618,1,85,75,69,79,66,52,0,9850,RB,,,RB,2,156296,1,86,49,32,46,73,26,0,9862,CB,RB,,CB,3,64271,1,84,52,58,50,77,27,0,9870,CB,,,CB,4,65041,1,83,79,80,60,72,63,0,9861,LB,LM,LWB,LB,5,187801,1,62,80,62,79,65,77,0,9848,RM,RW,,RM,7,148420,1,82,71,57,82,70,49,0,9857,CDM,CAM,,CDM,6,76215,1,70,85,89,80,59,60,0,9837,RM,LM,,LM,11,169154,1,29,78,86,64,72,81,0,9861,ST,,,ST,9,114881,1,42,81,60,73,46,72,0,9813,CAM,,,CAM,8,57216,1,40,90,75,53,69,84,0,9855,CF,ST,CM,ST,10
1710335,ENDED,2026-01-15T21:15:00.000Z,14.0.3/8.1.1,1383,Pigs To The Slaughter,3500,BockBusters,4,2,HOME_WIN,1383,Pigs To The Slaughter,2,3-4-3_diamond,4-1-2-1-2,92906,,81,78,78,78,79,79,75,77,78,72,79,84,82,80,84,78,79,82,82,83,76,84,159737,1,0,0,0,0,0,0,81,9928,GK,,,GK,1,92906,1,80,54,78,73,82,44,0,10000,CB,,,CB,3,59187,1,82,52,87,56,80,34,0,9861,CB,,,CB,4,14338,1,84,64,86,52,72,40,0,9861,CB,,,CB,13,203458,1,77,84,80,79,70,75,0,9857,RM,ST,RB,RM,7,57181,1,81,71,80,87,66,59,0,9790,CDM,CM,,CDM,6,23953,1,79,74,75,74,69,78,0,9855,LM,ST,CAM,LM,11,53958,1,65,88,68,73,79,71,0,9873,CM,CAM,,CAM,8,55359,1,71,90,89,82,65,50,0,9848,RM,RW,,RW,14,61185,1,75,68,89,72,69,77,0,9836,RM,CM,ST,ST,9,15331,1,75,91,82,80,50,67,0,9820,LM,ST,LW,LW,15,77560,1,0,0,0,0,0,0,84,9930,GK,,,GK,1,39640,1,82,67,85,86,93,53,0,9899,RB,LB,,RB,2,1440,1,83,59,75,67,83,40,0,9881,CB,,,CB,3,103394,1,93,52,50,52,80,37,0,9875,CB,,,CB,4,29825,1,81,75,87,76,68,49,0,9853,LB,,,LB,5,40184,1,51,78,83,89,67,74,0,9708,RM,RB,ST,RM,7,31328,1,91,61,71,82,85,52,0,9840,CDM,CM,,CDM,6,65172,1,82,91,79,81,77,66,0,9870,RM,LM,,LM,11,74733,1,18,81,77,73,79,88,0,9873,ST,,,ST,9,36074,1,26,69,61,82,66,82,0,9850,CAM,CF,,CAM,8,82697,1,38,82,71,71,76,91,0,9868,ST,,,ST,10
1710366,ENDED,2026-01-15T21:15:00.000Z,14.0.3/8.1.1,1250,AJ Montpellier,1089,MFC Leipzig Whales,0,1,AWAY_WIN,1089,MFC Leipzig Whales,1,4-3-3_attack,4-3-3,125343,5674,78,75,77,75,77,76,77,75,80,78,77,78,74,76,81,75,79,80,76,76,79,81,57036,1,0,0,0,0,0,0,78,9926,GK,,,GK,1,71576,1,76,66,85,76,76,34,0,10000,RB,RWB,,RB,2,100571,1,82,66,64,54,75,47,0,9866,CB,,,CB,3,125343,1,78,59,63,51,81,46,0,9877,CB,RWB,,CB,4,242311,1,84,71,74,71,70,38,0,9857,RB,LB,RWB,LB,5,307129,1,71,69,60,88,62,59,0,9842,CM,CAM,,CM,8,30926,1,76,72,80,81,69,76,0,10000,LM,LW,CAM,CAM,10,1334,1,61,78,66,77,70,74,0,10000,CM,CAM,RM,CM,6,47144,1,35,86,92,69,70,75,0,9857,RW,CAM,,RW,7,6667,1,27,77,73,58,82,83,0,10000,ST,CAM,,ST,9,50564,1,38,85,84,60,65,75,0,9848,LW,RW,,LW,11,5674,1,0,0,0,0,0,0,78,9905,GK,,,GK,1,25083,1,72,75,84,70,77,56,0,10000,RB,CB,,RB,2,153010,1,84,27,61,58,80,31,0,10000,CB,RB,,CB,3,131914,1,90,57,62,42,75,45,0,9866,CB,,,CB,4,12570,1,74,81,80,65,80,56,0,9875,LB,LWB,LM,LB,5,76795,1,62,78,68,88,72,66,0,9861,CM,CDM,,CM,8,66271,1,82,72,66,88,76,71,0,9868,CM,,,CM,6,58372,1,79,69,44,82,76,65,0,10000,CM,CAM,,CM,13,25133,1,38,69,85,82,66,76,0,10000,RW,RM,,RW,7,57650,1,44,82,72,58,80,82,0,9875,ST,,,ST,9,73327,1,56,82,89,86,71,84,0,9859,LM,ST,LW,LW,11
1710410,ENDED,2026-01-15T21:15:00.000Z,14.0.3/8.1.1,924,HansWorst II,1385,Sous-marin RUBIS,0,3,AWAY_WIN,1385,Sous-marin RUBIS,3,3-5-2_B,4-1-2-1-2,164991,37851,79,79,82,80,76,82,83,79,78,79,78,82,81,84,81,81,84,84,85,83,85,84,103726,1,0,0,0,0,0,0,79,10000,GK,,,GK,1,74156,1,90,55,51,54,65,28,0,10000,CB,,,CB,3,93696,1,87,50,71,68,83,29,0,10000,CB,CM,,CB,4,115294,1,88,56,57,63,72,70,0,10000,CB,,,CB,13,16684,1,89,71,37,62,71,42,0,10000,CDM,CM,,CDM,6,126161,1,88,71,50,81,83,44,0,10000,CDM,CB,,CDM,14,106271,1,70,85,83,87,79,73,0,10000,RM,CAM,,RM,7,164991,1,34,89,69,70,54,77,0,10000,CAM,LM,CM,CAM,8,30080,1,64,88,76,80,53,70,0,10000,LM,ST,LB,LM,11,37163,1,27,79,63,63,66,87,0,10000,ST,RW,,ST,9,75119,1,42,72,77,67,66,85,0,10000,ST,RW,,ST,10,149986,1,0,0,0,0,0,0,82,9929,GK,,,GK,1,83243,1,84,84,78,79,73,57,0,9840,RB,,,RB,3,165997,1,92,62,71,55,78,28,0,9756,CB,LB,,CB,5,99178,1,90,73,60,73,78,38,0,9872,CDM,CB,,CB,12,30936,1,83,77,82,84,70,57,0,9857,LB,,,LB,2,80260,1,58,86,85,93,82,71,0,9879,RM,LM,,RM,8,165474,1,89,74,72,89,71,45,0,9859,CDM,CM,,CDM,17,72832,1,70,87,71,93,75,68,0,9866,LM,RM,,LM,7,37851,1,34,82,87,65,70,88,0,9857,ST,,,ST,11,96731,1,47,92,81,83,76,76,0,9868,CAM,,,CAM,10,163388,1,33,79,81,67,76,93,0,9868,ST,CF,,ST,9
1710446,ENDED,2026-01-15T21:15:00.000Z,14.0.3/8.1.1,839,Daegu Orchard MFC,554,Gasteiz Metathletic FC,0,1,AWAY_WIN,554,Gasteiz Metathletic FC,1,4-1-2-1-2,4-3-3_attack,38206,65012,82,78,76,79,81,76,78,76,78,79,78,81,80,81,83,80,78,86,78,83,79,82,57023,1,0,0,0,0,0,0,82,9929,GK,,,GK,1,38545,1,84,66,84,74,71,77,0,9859,RB,,,RB,2,10235,1,78,63,84,54,81,38,0,10000,CB,CDM,,CB,3,39689,1,82,53,75,67,83,55,0,9881,CB,,,CB,4,73025,1,86,78,73,84,62,33,0,9842,LB,LWB,,LB,5,121077,1,44,77,81,86,69,72,0,9855,RM,CAM,LM,RM,7,51878,1,74,79,81,82,79,67,0,9873,CDM,CB,,CDM,6,109633,1,59,75,82,86,52,69,0,9824,LM,LW,,LM,11,53592,1,40,87,77,45,85,79,0,9884,ST,,,ST,9,38206,1,47,78,63,84,71,79,0,10000,CAM,RM,CM,CAM,8,40567,1,42,79,85,68,75,78,0,10000,ST,,,ST,10,113360,1,0,0,0,0,0,0,81,9928,GK,,,GK,1,15484,1,83,76,92,65,87,75,0,10000,RB,LB,,RB,22,65012,1,85,62,70,64,80,41,0,9875,CB,CDM,,CB,4,155866,1,92,58,62,48,74,30,0,9862,CB,,,CB,23,79536,1,90,67,65,80,75,40,0,9866,LB,LWB,,LB,3,144803,1,72,73,57,87,71,68,0,9859,CM,,,CM,17,53222,1,47,94,83,89,66,68,0,9850,CAM,,,CAM,10,116332,1,70,83,57,82,67,65,0,9850,CM,,,CM,19,119595,1,43,87,69,84,55,84,0,9829,LW,RW,,RW,21,24440,1,23,85,76,51,74,82,0,10000,ST,,,ST,99,6104,1,70,87,67,85,71,73,0,10000,LM,ST,LW,LW,11
