clubStanding,clubId,clubName,wins,draws,losses,points,goals,goalsAgainst,matchIds
1,1385,Sous-marin RUBIS,18,1,1,55,64,20,"[1710153, 1710410, 1710842, 1711051, 1711159, 1711432, 1711523, 1711799, 1711905, 1712070, 1712399, 1712566, 1712871, 1713000, 1713302, 1713659, 1713848, 1714022, 1714056, 1714465]"
2,3500,BockBusters,11,3,6,36,29,19,"[1710069, 1710335, 1710577, 1710799, 1711012, 1711238, 1711363, 1711600, 1711832, 1711905, 1712327, 1712647, 1712788, 1713000, 1713377, 1713593, 1713766, 1713992, 1714317, 1714482]"
3,2193,Effigy Dreamers MFC,8,8,4,32,44,30,"[1710107, 1710283, 1710611, 1710760, 1711238, 1711314, 1711632, 1711799, 1711943, 1712139, 1712362, 1712698, 1712742, 1713042, 1713377, 1713732, 1713957, 1714144, 1714347, 1714465]"
4,1250,AJ Montpellier,10,2,8,32,31,33,"[1710107, 1710366, 1710542, 1711051, 1711192, 1711398, 1711560, 1711832, 1711863, 1712104, 1712362, 1712609, 1712834, 1712955, 1713336, 1713659, 1713809, 1714107, 1714283, 1714482]"
5,1383,Pigs To The Slaughter,9,4,7,31,32,27,"[1710153, 1710335, 1710641, 1710725, 1710963, 1711192, 1711275, 1711632, 1711761, 1712175, 1712399, 1712698, 1712788, 1713336, 1713510, 1713693, 1713924, 1714184, 1714373, 1714445]"
6,554,Gasteiz Metathletic FC,6,6,8,24,21,21,"[1710197, 1710446, 1710492, 1710842, 1711012, 1711122, 1711481, 1711761, 1711943, 1712104, 1712446, 1712531, 1712912, 1713042, 1713195, 1713593, 1714022, 1714107, 1714255, 1714445]"
7,839,Daegu Orchard MFC,7,3,10,24,27,31,"[1710241, 1710446, 1710577, 1710760, 1710928, 1711398, 1711523, 1711676, 1712032, 1712175, 1712480, 1712566, 1712912, 1713123, 1713465, 1713809, 1713957, 1714184, 1714317, 1714397]"
8,2715,Bucaramanga,6,6,8,24,18,23,"[1710241, 1710542, 1710799, 1710963, 1711088, 1711432, 1711481, 1711715, 1711993, 1712139, 1712480, 1712531, 1713080, 1713163, 1713510, 1713848, 1713992, 1714144, 1714283, 1714419]"
9,924,HansWorst II,6,5,9,23,23,34,"[1710410, 1710611, 1710725, 1710881, 1711122, 1711363, 1711560, 1711715, 1712032, 1712227, 1712609, 1712871, 1713123, 1713195, 1713435, 1713766, 1713924, 1714220, 1714347, 1714419]"
10,1089,MFC Leipzig Whales,3,6,11,15,20,36,"[1710197, 1710366, 1710641, 1710673, 1710928, 1711159, 1711314, 1711600, 1711993, 1712227, 1712446, 1712647, 1712834, 1713080, 1713302, 1713465, 1713732, 1713884, 1714220, 1714373]"
11,2686,Canal Kings FC,3,2,15,11,14,49,"[1710069, 1710283, 1710492, 1710673, 1710881, 1711088, 1711275, 1711676, 1711863, 1712070, 1712327, 1712742, 1712955, 1713163, 1713435, 1713693, 1713884, 1714056, 1714255, 1714397]"
